SampleIdx,Signal_I,Strobe_Center,Strobe_Joint
1149,-3582,0,0
1150,-8005,0,0
1151,-2837,0,0
1152,-116,15000,0
1153,-17901,0,0
1154,-8026,0,0
1155,-9294,0,0
1156,-13955,0,0
1157,23140,0,0
1158,-2416,0,0
1159,22918,0,0
1160,-15586,0,0
1161,-2823,0,0
1162,-1255,0,0
1163,-13256,0,0
1164,-21617,0,0
1165,-9406,0,0
1166,13489,0,0
1167,-5423,0,0
1168,11038,0,0
1169,1821,0,0
1170,18777,0,0
1171,-14161,0,0
1172,15631,0,0
1173,15975,0,0
1174,-269,0,0
1175,15483,0,0
1176,7098,0,0
1177,7553,0,0
1178,9975,0,0
1179,18783,0,0
1180,5743,0,0
1181,3789,0,0
1182,-21168,0,0
1183,-14876,0,0
1184,3291,0,0
1185,19952,0,0
1186,14618,0,0
1187,-13196,0,0
1188,1425,0,0
1189,-13831,0,0
1190,-18610,0,0
1191,-14506,0,0
1192,-10324,0,0
1193,-20305,0,0
1194,16771,0,0
1195,9410,0,0
1196,16648,0,0
1197,-16034,0,0
1198,6449,0,0
1199,14058,0,0
1200,18942,0,0
1201,6858,0,0
1202,-18850,0,0
1203,428,0,0
1204,-12861,0,0
1205,12189,0,0
1206,20694,0,0
1207,-11862,0,0
1208,-699,0,0
1209,-4016,0,0
1210,-20640,0,0
1211,12449,0,0
1212,10743,0,0
1213,-2742,0,0
1214,15318,0,0
1215,6735,0,0
1216,-15071,0,0
1217,7956,0,0
1218,-7067,0,0
1219,-7120,0,0
1220,11966,0,0
1221,-7357,0,0
1222,4238,0,0
1223,5751,0,0
1224,11886,0,0
1225,-2415,0,0
1226,-423,0,0
1227,601,0,0
1228,6358,0,0
1229,-6715,0,0
1230,-4343,0,0
1231,-15329,0,0
1232,-6976,0,0
1233,19897,0,0
1234,13996,0,0
1235,647,0,0
1236,-5278,0,0
1237,-7346,0,0
1238,-9389,0,0
1239,-6538,0,0
1240,17481,0,0
1241,12680,0,0
1242,-8526,0,0
1243,-3730,0,0
1244,15784,0,0
1245,-13731,0,0
1246,6873,0,0
1247,1703,0,0
1248,-16642,0,0
1249,18827,0,0
1250,-16383,0,0
1251,-13232,0,0
1252,-11672,0,0
1253,-6076,0,0
1254,-15134,0,0
1255,-9853,0,0
1256,-15349,0,0
1257,5589,0,0
1258,-14154,0,0
1259,22614,0,0
1260,13484,0,0
1261,1191,0,0
1262,17392,0,0
1263,14601,0,0
1264,-7696,0,0
1265,-5524,0,0
1266,12759,0,0
1267,18313,0,0
1268,15528,0,0
1269,13482,0,0
1270,6777,0,0
1271,3416,0,0
1272,9905,0,0
1273,-7082,0,0
1274,11698,0,0
1275,8866,0,0
1276,-13797,0,0
1277,-2915,0,0
1278,8959,0,0
1279,-5291,0,0
1280,10435,0,-15000
1281,19480,0,0
1282,4968,0,0
1283,-5266,0,0
1284,12055,0,0
1285,12286,0,0
1286,-16270,0,0
1287,-17544,0,0
1288,23140,0,0
1289,-16752,0,0
