SampleIdx,F_990Hz,F_992Hz,F_994Hz,F_996Hz,F_998Hz,F_1000Hz,F_1002Hz,F_1004Hz,F_1006Hz,F_1008Hz,F_1010Hz
18864,16258.50,58954.72,32508.58,5921.34,17169.74,115131.45,14074.14,19977.29,28502.80,1935.16,31078.92
18880,15967.30,59408.33,32644.16,6043.91,17456.80,114895.28,14026.71,19851.87,28621.54,1845.35,31355.38
18896,15719.17,59905.35,32718.49,6179.54,17746.37,114720.60,13975.12,19733.41,28744.12,1760.81,31594.99
18912,15497.79,60381.44,32788.79,6306.39,18013.09,114513.08,13952.88,19659.53,28906.86,1678.17,31756.48
18928,15260.99,60477.87,33086.89,6294.88,18062.08,113913.50,14126.08,19841.02,29225.18,1615.43,31558.79
18944,15022.18,60273.98,33534.52,6174.31,17924.03,113121.68,14419.96,20187.32,29566.39,1596.88,31127.49
18960,14721.96,60339.30,33962.96,6124.17,17908.16,112280.11,14706.88,20516.41,29974.20,1556.40,30718.36
18976,14508.00,60711.74,34151.30,6189.61,18063.79,111728.41,14864.68,20690.20,30331.70,1492.52,30479.46
18992,14378.62,61268.04,34164.40,6331.82,18332.71,111363.25,14944.19,20774.26,30680.60,1410.49,30320.56
19008,14375.25,61663.30,34053.89,6456.11,18549.36,111286.45,14938.15,20765.07,30876.08,1351.48,30274.70
19024,14276.83,61555.54,34232.80,6388.30,18441.55,111080.57,15026.54,20866.80,30864.12,1383.37,30195.03
19040,14197.18,61660.60,34334.64,6390.25,18452.14,110832.50,15116.66,20973.97,30965.34,1386.49,30066.45
19056,14236.26,61781.39,34251.73,6440.44,18536.81,110845.37,15104.29,20964.92,31042.09,1363.98,30032.96
19072,14405.06,61610.97,34011.99,6466.51,18577.42,111334.52,14921.00,20753.74,30948.75,1328.27,30216.22
19088,14468.00,61417.49,33934.80,6444.41,18539.71,111638.97,14810.19,20619.26,30832.89,1318.98,30367.47
19104,14543.20,61305.20,33826.96,6452.87,18556.45,111884.11,14720.21,20517.74,30805.36,1297.91,30435.15
19120,14582.16,61179.57,33771.36,6444.22,18545.75,112085.11,14647.20,20432.89,30765.55,1284.02,30499.28
19136,14565.85,61276.20,33796.34,6454.80,18559.26,111958.66,14692.10,20484.10,30788.94,1292.19,30466.67
19152,14424.73,61195.88,34007.96,6363.55,18399.45,111945.95,14687.67,20440.63,30585.34,1321.02,30658.61
19168,14477.58,60960.98,33908.41,6354.32,18402.00,112299.25,14562.29,20308.42,30598.13,1283.66,30667.73
19184,14478.08,60657.33,33873.86,6311.25,18352.01,112721.28,14410.17,20137.44,30566.74,1245.08,30713.88
19200,14493.82,60278.00,33796.55,6275.74,18326.97,113238.38,14231.69,19954.27,30604.10,1193.02,30682.58
19216,14580.47,59852.20,33594.19,6287.42,18396.42,113796.97,14056.79,19815.00,30800.25,1128.47,30483.01
19232,14612.43,59414.53,33460.58,6275.59,18429.07,114369.00,13877.77,19667.35,30978.68,1067.67,30290.70
19248,14584.42,58992.41,33408.18,6238.00,18418.21,114934.66,13698.74,19511.46,31124.54,1012.46,30121.79
19264,14610.97,58492.30,33241.68,6244.85,18502.08,115524.59,13539.54,19427.19,31431.91,957.50,29791.57
19280,14648.57,57936.71,33032.46,6271.54,18632.04,116115.53,13401.11,19395.04,31817.15,911.07,29395.17
19296,14643.38,57650.79,32953.80,6276.13,18686.46,116434.33,13326.87,19377.40,32018.76,889.01,29186.19
19312,14475.59,57354.93,33104.28,6180.81,18579.74,117015.77,13136.99,19202.19,32153.36,840.46,28990.93
19328,14310.02,57110.38,33264.09,6088.87,18475.55,117559.38,12961.31,19044.85,32296.69,797.26,28786.79
19344,14174.54,57048.08,33444.44,6004.05,18353.43,117913.16,12829.91,18901.69,32343.84,764.72,28676.65
19360,14208.94,56969.47,33359.33,6036.61,18418.43,117865.44,12865.58,18963.09,32381.93,775.21,28672.22
19376,14397.64,56699.67,32950.27,6205.47,18726.86,117449.31,13086.26,19275.11,32442.72,837.71,28792.73
19392,14558.25,56125.58,32427.02,6419.97,19166.67,117081.09,13362.15,19720.80,32615.84,928.31,28919.45
19408,14775.40,55418.12,31744.79,6717.06,19746.00,116445.86,13769.33,20306.17,32698.09,1058.03,29254.81
19424,15002.50,54701.06,31037.00,7043.07,20356.10,115661.37,14231.74,20910.29,32654.45,1200.74,29746.39
19440,15099.08,54335.04,30698.86,7205.01,20656.32,115259.68,14465.41,21199.76,32595.65,1271.04,30024.30
19456,15207.06,54383.59,30580.20,7260.64,20700.64,114981.23,14531.08,21205.08,32450.76,1271.80,30132.95
19472,15287.48,54333.04,30440.09,7327.79,20784.98,114718.49,14616.57,21252.66,32329.96,1282.00,30256.74
19488,15408.16,54415.09,30329.02,7377.28,20796.96,114440.36,14653.51,21197.04,32167.93,1264.97,30305.48
19504,15373.33,54142.82,30191.74,7452.03,20965.97,114258.45,14786.38,21359.99,32101.17,1302.60,30501.29
19520,15229.73,53683.66,30062.70,7537.01,21224.98,114116.41,14985.28,21651.77,32050.73,1372.43,30821.58
19536,14952.15,53312.26,30170.36,7518.12,21392.61,114394.61,15101.55,21975.67,32197.25,1460.32,31091.31
19552,14786.65,53085.06,30224.96,7516.38,21508.54,114510.89,15190.89,22175.72,32242.91,1513.14,31284.21
19568,14755.99,52782.50,30026.94,7629.91,21705.75,114109.50,15355.56,22267.14,32014.06,1520.29,31457.44
19584,14674.61,52272.73,29720.88,7815.42,22034.40,113446.34,15626.83,22401.88,31624.96,1524.30,31705.36
19600,14408.22,51455.65,29401.16,8060.37,22574.15,112603.76,16081.56,22720.99,31062.11,1559.44,32174.21
19616,14120.58,50848.35,29275.39,8213.78,22999.28,112090.28,16450.96,23035.10,30653.12,1604.62,32585.08
19632,13878.35,50532.69,29330.87,8261.00,23256.71,111941.78,16694.32,23312.65,30432.76,1656.00,32920.14
19648,13767.02,50224.95,29205.37,8367.64,23464.86,111550.27,16857.80,23362.25,30193.28,1643.90,32968.17
19664,13567.16,49989.34,29261.67,8413.48,23693.52,111354.80,17077.42,23562.25,29948.91,1668.60,33178.56
19680,13354.23,49763.75,29341.64,8458.18,23937.78,111145.47,17315.21,23769.32,29678.21,1690.57,33376.93
19696,13209.88,49490.66,29273.12,8553.63,24148.89,110767.26,17475.54,23795.03,29447.82,1666.99,33340.59
19712,13004.88,48947.50,29010.32,8772.04,24482.83,109961.16,17663.45,23653.51,29130.47,1585.15,33043.97
19728,12933.28,48537.71,28688.63,8955.08,24627.33,109375.27,17658.65,23386.41,29074.43,1507.33,32683.85
19744,12920.45,48377.06,28539.72,9027.35,24654.95,109175.80,17621.41,23259.26,29103.66,1479.71,32543.51
19760,12969.14,48492.62,28598.04,8977.56,24590.96,109350.22,17603.51,23320.64,29131.32,1500.51,32640.54
19776,12826.08,48161.54,28431.48,9119.83,24767.54,108864.73,17642.66,23140.23,29076.46,1444.47,32374.97
19792,12603.68,47800.45,28333.22,9283.35,25059.62,108215.88,17772.19,22964.33,28922.35,1370.77,32029.88
19808,12326.02,47320.58,28169.31,9508.77,25407.02,107389.22,17875.83,22677.88,28833.57,1281.62,31586.49
19824,11955.52,46675.83,27935.06,9825.40,25855.02,106294.02,17958.19,22244.88,28830.50,1174.73,31025.40
19840,11699.25,46296.39,27844.65,10030.72,26190.70,105539.18,18045.48,21966.88,28812.83,1104.53,30647.58
19856,11315.34,45656.20,27615.66,10377.05,26639.09,104442.61,18051.85,21470.07,28991.99,1026.71,30195.99
19872,10958.88,44988.42,27308.45,10728.82,26981.88,103521.72,17936.49,20975.98,29337.31,991.16,29950.71
19888,10654.19,44462.39,27092.71,11030.70,27295.40,102730.64,17839.24,20557.39,29661.75,972.87,29797.38
19904,10442.79,44080.86,26917.72,11246.29,27479.55,102246.66,17727.79,20278.38,29940.81,978.48,29788.46
19920,10367.61,43905.34,26803.99,11325.51,27491.17,102165.52,17640.06,20200.03,30076.38,994.80,29866.14
19936,10314.37,43779.76,26719.36,11379.83,27487.63,102135.03,17570.00,20157.15,30172.64,1009.96,29943.72
19952,10213.15,43703.20,26760.67,11491.67,27693.78,101715.91,17573.06,19969.26,30314.38,1006.20,29905.62
19968,10161.58,43646.56,26758.45,11549.84,27772.72,101549.11,17551.58,19887.39,30400.36,1011.44,29927.36
19984,10208.95,43730.20,26803.20,11498.16,27753.06,101604.34,17609.57,19926.85,30313.60,996.00,29843.03
20000,10300.99,43977.06,27002.13,11429.62,27872.09,101411.47,17766.21,19873.92,30229.79,961.67,29650.90
20016,10530.13,44461.96,27338.04,11231.83,27984.03,101260.02,18086.76,19857.09,29990.77,892.09,29257.02
20032,10721.31,44745.14,27465.05,11011.30,27868.78,101524.67,18335.80,20003.96,29657.82,830.05,28894.01
20048,10757.21,44790.92,27479.80,10963.27,27832.81,101601.73,18389.17,20043.10,29578.64,815.97,28808.91
20064,10748.21,44767.09,27459.21,10962.34,27811.34,101643.00,18386.51,20061.85,29559.24,814.10,28795.18
20080,10837.21,44924.37,27559.15,10879.27,27838.25,101593.30,18506.42,20035.37,29509.83,794.95,28690.70
20096,10960.86,45145.29,27704.78,10769.10,27896.14,101476.35,18667.64,19968.65,29485.71,775.29,28591.92
20112,10992.96,45255.86,27811.23,10810.38,28031.08,101225.09,18632.03,19865.32,29622.86,794.79,28715.16
20128,10871.19,45086.67,27724.10,10989.27,28058.33,101212.84,18400.58,19906.80,29702.30,825.67,28861.22
20144,10555.97,44540.75,27357.76,11309.59,27867.93,101686.33,17994.59,20220.20,29553.52,843.58,28838.22
20160,10099.67,43727.15,26797.48,11784.08,27526.96,102562.67,17445.59,20783.54,29192.32,851.94,28620.61
20176,9737.30,43070.59,26339.48,12199.01,27223.91,103392.59,17018.46,21319.21,28802.57,848.96,28312.65
20192,9486.65,42649.20,26063.05,12673.17,27089.53,103981.17,16538.40,21803.19,28508.65,869.14,28068.73
20208,9321.59,42386.98,25899.66,13168.69,27039.12,104473.56,16055.04,22280.74,28230.10,896.51,27806.38
20224,9180.53,42128.71,25716.79,13536.14,26910.69,105049.30,15755.99,22721.39,27890.44,893.31,27456.62
20240,9067.66,41906.88,25550.48,13851.03,26769.04,105626.56,15537.50,23130.28,27542.06,878.22,27088.02
20256,9024.88,41816.38,25477.83,14014.11,26697.23,105933.52,15436.78,23344.96,27349.51,866.32,26880.89
20272,8954.12,41660.37,25352.18,14102.92,26564.54,106274.14,15435.85,23500.89,27171.29,841.30,26709.26
